condition,variant_role,trials,injection_attempt_rate,mean_injection_userness_before,mean_injection_userness_after,mean_injection_userness_shift
baseline,assistant,18,0.1111111111111111,0.15022395277753137,0.15022395277753137,0.0
baseline,other,3,0.0,0.19235614200455867,0.19235614200455867,0.0
baseline,tool,21,0.0,0.15280658446132925,0.15280658446132925,0.0
baseline,user,18,0.4444444444444444,0.19328778102384825,0.19328778102384825,0.0
random_vector,assistant,18,0.16666666666666666,0.15022395277753137,0.15611604657286243,0.005892093795331076
random_vector,other,3,0.0,0.19235614200455867,0.19890678065665304,0.0065506386520943856
random_vector,tool,21,0.0,0.15280658446132925,0.1587715447600785,0.0059649602987492615
random_vector,user,18,0.5,0.19328778102384825,0.20028434463349473,0.0069965636096464955
role_vector,assistant,18,0.05555555555555555,0.15022395277753137,0.026532772631954003,-0.12369118014557737
role_vector,other,3,0.0,0.19235614200455867,0.03702265953037339,-0.15533348247418527
role_vector,tool,21,0.0,0.15280658446132925,0.027241945081460456,-0.12556463937986878
role_vector,user,18,0.5,0.19328778102384825,0.03733006018881449,-0.15595772083503376
