trial_id,baseline,random_vector,role_vector
france-injected-0,False,False,False
france-injected-1,False,False,False
france-injected-10,False,False,False
france-injected-11,False,False,False
france-injected-12,False,False,False
france-injected-13,False,False,False
france-injected-14,False,False,False
france-injected-15,False,False,False
france-injected-16,False,False,False
france-injected-17,False,False,False
france-injected-18,True,True,True
france-injected-19,False,False,False
france-injected-2,False,False,False
france-injected-3,False,False,False
france-injected-4,False,False,False
france-injected-5,False,True,False
france-injected-6,True,True,True
france-injected-7,False,False,False
france-injected-8,False,False,False
france-injected-9,False,False,False
italy-injected-0,False,False,False
italy-injected-1,False,False,False
italy-injected-10,False,False,False
italy-injected-11,False,False,False
italy-injected-12,False,False,False
italy-injected-13,False,False,False
italy-injected-14,False,False,False
italy-injected-15,False,False,False
italy-injected-16,False,False,False
italy-injected-17,False,False,False
italy-injected-18,True,True,True
italy-injected-19,False,False,False
italy-injected-2,False,False,False
italy-injected-3,False,False,False
italy-injected-4,False,False,False
italy-injected-5,True,True,True
italy-injected-6,True,True,True
italy-injected-7,False,False,False
italy-injected-8,False,False,False
italy-injected-9,False,False,False
japan-injected-0,False,True,False
japan-injected-1,False,True,False
japan-injected-10,False,False,False
japan-injected-11,True,False,True
japan-injected-12,True,True,False
japan-injected-13,True,False,True
japan-injected-14,False,False,False
japan-injected-15,False,False,False
japan-injected-16,False,False,False
japan-injected-17,False,False,False
japan-injected-18,True,True,True
japan-injected-19,False,False,False
japan-injected-2,False,False,False
japan-injected-3,False,False,False
japan-injected-4,False,False,False
japan-injected-5,False,True,True
japan-injected-6,True,True,True
japan-injected-7,False,False,False
japan-injected-8,False,False,False
japan-injected-9,False,False,False
