layer,train_tokens,test_tokens,five_role_test_accuracy,user_tool_test_accuracy
0,315.0,115.0,0.6782608695652174,0.8695652173913043
1,315.0,115.0,0.9652173913043478,1.0
2,315.0,115.0,0.9130434782608695,0.9782608695652174
3,315.0,115.0,0.9391304347826087,1.0
4,315.0,115.0,0.8782608695652174,0.9565217391304348
5,315.0,115.0,0.8434782608695652,0.9565217391304348
6,315.0,115.0,0.8956521739130435,0.9782608695652174
7,315.0,115.0,0.9391304347826087,0.9782608695652174
8,315.0,115.0,0.9391304347826087,1.0
9,315.0,115.0,0.9304347826086956,1.0
10,315.0,115.0,0.9217391304347826,0.9782608695652174
11,315.0,115.0,0.8173913043478261,0.8913043478260869
12,315.0,115.0,0.8,0.8260869565217391
13,315.0,115.0,0.782608695652174,0.8043478260869565
14,315.0,115.0,0.8173913043478261,0.8043478260869565
15,315.0,115.0,0.8260869565217391,0.8260869565217391
16,315.0,115.0,0.8869565217391304,0.8478260869565217
17,315.0,115.0,0.8434782608695652,0.7608695652173914
18,315.0,115.0,0.8347826086956521,0.782608695652174
19,315.0,115.0,0.8434782608695652,0.7391304347826086
20,315.0,115.0,0.782608695652174,0.6956521739130435
21,315.0,115.0,0.808695652173913,0.717391304347826
22,315.0,115.0,0.8,0.717391304347826
23,315.0,115.0,0.7913043478260869,0.717391304347826
