condition,layer,baseline_injection_attempt,trials,mean_injection_userness
baseline,0,False,4,0.16724080219864845
baseline,0,True,4,0.16680265218019485
baseline,1,False,4,0.1846223697066307
baseline,1,True,4,0.1852806992828846
baseline,2,False,4,0.13886355608701706
baseline,2,True,4,0.1442670226097107
baseline,3,False,4,0.14444679766893387
baseline,3,True,4,0.14476589858531952
baseline,4,False,4,0.14402690529823303
baseline,4,True,4,0.14631036669015884
baseline,5,False,4,0.167506393045187
baseline,5,True,4,0.16881464794278145
baseline,6,False,4,0.10399403795599937
baseline,6,True,4,0.10660613514482975
baseline,7,False,4,0.124300641939044
baseline,7,True,4,0.12028356455266476
baseline,8,False,4,0.13753167912364006
baseline,8,True,4,0.13518664427101612
baseline,9,False,4,0.12704367749392986
baseline,9,True,4,0.12656299211084843
baseline,10,False,4,0.14264817535877228
baseline,10,True,4,0.1456717737019062
baseline,11,False,4,0.1734868548810482
baseline,11,True,4,0.17446545884013176
baseline,12,False,4,0.1838195137679577
baseline,12,True,4,0.18571731075644493
baseline,13,False,4,0.1926351599395275
baseline,13,True,4,0.1949874833226204
baseline,14,False,4,0.20775483176112175
baseline,14,True,4,0.21007971465587616
baseline,15,False,4,0.3002659007906914
baseline,15,True,4,0.3038211762905121
baseline,16,False,4,0.5194523558020592
baseline,16,True,4,0.5290549844503403
baseline,17,False,4,0.5844650566577911
baseline,17,True,4,0.592145636677742
baseline,18,False,4,0.8267873078584671
baseline,18,True,4,0.8285183310508728
baseline,19,False,4,0.856163889169693
baseline,19,True,4,0.8542968928813934
baseline,20,False,4,0.9037827551364899
baseline,20,True,4,0.9019311815500259
baseline,21,False,4,0.9379406720399857
baseline,21,True,4,0.9364327639341354
baseline,22,False,4,0.9448355436325073
baseline,22,True,4,0.9437351524829865
baseline,23,False,4,0.9530572891235352
baseline,23,True,4,0.9502371549606323
role_vector_layer_matched_5,0,False,4,0.16724080219864845
role_vector_layer_matched_5,0,True,4,0.16680265218019485
role_vector_layer_matched_5,1,False,4,0.1846223697066307
role_vector_layer_matched_5,1,True,4,0.1852806992828846
role_vector_layer_matched_5,2,False,4,0.13886355608701706
role_vector_layer_matched_5,2,True,4,0.1442670226097107
role_vector_layer_matched_5,3,False,4,0.14444679766893387
role_vector_layer_matched_5,3,True,4,0.14476589858531952
role_vector_layer_matched_5,4,False,4,0.14402690529823303
role_vector_layer_matched_5,4,True,4,0.14631036669015884
role_vector_layer_matched_5,5,False,4,0.167506393045187
role_vector_layer_matched_5,5,True,4,0.16881464794278145
role_vector_layer_matched_5,6,False,4,0.10399403795599937
role_vector_layer_matched_5,6,True,4,0.10660613514482975
role_vector_layer_matched_5,7,False,4,0.124300641939044
role_vector_layer_matched_5,7,True,4,0.12028356455266476
role_vector_layer_matched_5,8,False,4,0.13753167912364006
role_vector_layer_matched_5,8,True,4,0.13518664427101612
role_vector_layer_matched_5,9,False,4,0.12704367749392986
role_vector_layer_matched_5,9,True,4,0.12656299211084843
role_vector_layer_matched_5,10,False,4,0.14264817535877228
role_vector_layer_matched_5,10,True,4,0.1456717737019062
role_vector_layer_matched_5,11,False,4,0.1734868548810482
role_vector_layer_matched_5,11,True,4,0.17446545884013176
role_vector_layer_matched_5,12,False,4,0.02006924618035555
role_vector_layer_matched_5,12,True,4,0.020428568124771118
role_vector_layer_matched_5,13,False,4,0.022962091024965048
role_vector_layer_matched_5,13,True,4,0.023290572222322226
role_vector_layer_matched_5,14,False,4,0.030375624541193247
role_vector_layer_matched_5,14,True,4,0.030734967440366745
role_vector_layer_matched_5,15,False,4,0.047015637159347534
role_vector_layer_matched_5,15,True,4,0.047711593098938465
role_vector_layer_matched_5,16,False,4,0.11876986175775528
role_vector_layer_matched_5,16,True,4,0.12156291492283344
role_vector_layer_matched_5,17,False,4,0.15014751255512238
role_vector_layer_matched_5,17,True,4,0.1612759828567505
role_vector_layer_matched_5,18,False,4,0.37388022243976593
role_vector_layer_matched_5,18,True,4,0.3989638462662697
role_vector_layer_matched_5,19,False,4,0.4273403733968735
role_vector_layer_matched_5,19,True,4,0.4523540809750557
role_vector_layer_matched_5,20,False,4,0.5045209303498268
role_vector_layer_matched_5,20,True,4,0.5323181822896004
role_vector_layer_matched_5,21,False,4,0.6106963902711868
role_vector_layer_matched_5,21,True,4,0.6415498405694962
role_vector_layer_matched_5,22,False,4,0.609977051615715
role_vector_layer_matched_5,22,True,4,0.6419875919818878
role_vector_layer_matched_5,23,False,4,0.6481685191392899
role_vector_layer_matched_5,23,True,4,0.6829759776592255
