layer,cosine_similarity_to_probe_layer_direction
0,0.051909223198890686
1,0.03396102786064148
2,0.09933650493621826
3,0.1580604612827301
4,0.21196775138378143
5,0.3376576602458954
6,0.46859613060951233
7,0.5826526880264282
8,0.6364800930023193
9,0.6782671213150024
10,0.784637451171875
11,0.8644176721572876
12,0.9460575580596924
13,0.8540409803390503
14,0.7671797871589661
15,0.6775907278060913
16,0.598274827003479
17,0.5165735483169556
18,0.451983779668808
19,0.3888835310935974
20,0.31448128819465637
21,0.26571136713027954
22,0.21189697086811066
23,0.1574970781803131
