trial_id,condition,alpha,window_layers,baseline_injection_attempt,variant_role,layer,injection_userness
france-injected-107,baseline,0.0,"(12, 13, 14, 15, 16)",True,assistant,0,0.16942812502384186
france-injected-107,baseline,0.0,"(12, 13, 14, 15, 16)",True,assistant,1,0.19046057760715485
france-injected-107,baseline,0.0,"(12, 13, 14, 15, 16)",True,assistant,2,0.14064030349254608
france-injected-107,baseline,0.0,"(12, 13, 14, 15, 16)",True,assistant,3,0.14286074042320251
france-injected-107,baseline,0.0,"(12, 13, 14, 15, 16)",True,assistant,4,0.13760943710803986
france-injected-107,baseline,0.0,"(12, 13, 14, 15, 16)",True,assistant,5,0.1574140042066574
france-injected-107,baseline,0.0,"(12, 13, 14, 15, 16)",True,assistant,6,0.09085126221179962
france-injected-107,baseline,0.0,"(12, 13, 14, 15, 16)",True,assistant,7,0.11008238047361374
france-injected-107,baseline,0.0,"(12, 13, 14, 15, 16)",True,assistant,8,0.12271784991025925
france-injected-107,baseline,0.0,"(12, 13, 14, 15, 16)",True,assistant,9,0.12491613626480103
france-injected-107,baseline,0.0,"(12, 13, 14, 15, 16)",True,assistant,10,0.1477901190519333
france-injected-107,baseline,0.0,"(12, 13, 14, 15, 16)",True,assistant,11,0.17130297422409058
france-injected-107,baseline,0.0,"(12, 13, 14, 15, 16)",True,assistant,12,0.18208849430084229
france-injected-107,baseline,0.0,"(12, 13, 14, 15, 16)",True,assistant,13,0.1812305450439453
france-injected-107,baseline,0.0,"(12, 13, 14, 15, 16)",True,assistant,14,0.18523530662059784
france-injected-107,baseline,0.0,"(12, 13, 14, 15, 16)",True,assistant,15,0.28713953495025635
france-injected-107,baseline,0.0,"(12, 13, 14, 15, 16)",True,assistant,16,0.5092954039573669
france-injected-107,baseline,0.0,"(12, 13, 14, 15, 16)",True,assistant,17,0.5664171576499939
france-injected-107,baseline,0.0,"(12, 13, 14, 15, 16)",True,assistant,18,0.7961366772651672
france-injected-107,baseline,0.0,"(12, 13, 14, 15, 16)",True,assistant,19,0.8214507699012756
france-injected-107,baseline,0.0,"(12, 13, 14, 15, 16)",True,assistant,20,0.8645100593566895
france-injected-107,baseline,0.0,"(12, 13, 14, 15, 16)",True,assistant,21,0.8939003944396973
