layer,train_tokens,test_tokens,five_role_test_accuracy,user_tool_test_accuracy
12,815.0,190.0,0.9789473684210527,0.9868421052631579
13,815.0,190.0,0.9421052631578948,0.9605263157894737
14,815.0,190.0,0.9578947368421052,0.9605263157894737
15,815.0,190.0,0.9526315789473684,0.9473684210526315
16,815.0,190.0,1.0,1.0
17,815.0,190.0,1.0,1.0
18,815.0,190.0,0.9789473684210527,0.9605263157894737
19,815.0,190.0,0.9789473684210527,0.9605263157894737
20,815.0,190.0,0.9842105263157894,0.9605263157894737
21,815.0,190.0,0.9736842105263158,0.9473684210526315
22,815.0,190.0,0.9789473684210527,0.9605263157894737
23,815.0,190.0,0.9894736842105263,1.0
