source_run_id,condition,response_rows,original_marker_rate,clear_behavioral_failure_rate,labels_changed
gpt_oss_role_vector_20260828_071331Z,baseline,36,16.666666666666664,5.555555555555555,8
gpt_oss_role_vector_20260828_072857Z,baseline,300,10.666666666666668,9.0,47
gpt_oss_role_vector_20260828_084353Z,baseline,600,12.0,9.833333333333332,101
gpt_oss_role_vector_20260828_092235Z,baseline,60,16.666666666666664,15.0,17
gpt_oss_role_vector_20260828_092235Z,random_vector,60,20.0,11.666666666666666,19
gpt_oss_role_vector_20260828_092235Z,role_vector,60,16.666666666666664,8.333333333333332,13
gpt_oss_role_vector_20260829_054343Z,baseline,600,22.666666666666664,9.833333333333332,165
gpt_oss_role_vector_20260829_054343Z,random_vector_alpha_1,600,24.166666666666668,8.166666666666666,168
gpt_oss_role_vector_20260829_054343Z,random_vector_alpha_2,600,24.5,7.666666666666666,167
gpt_oss_role_vector_20260829_054343Z,random_vector_alpha_3,600,24.833333333333332,8.833333333333334,176
gpt_oss_role_vector_20260829_054343Z,random_vector_alpha_4,600,24.833333333333332,8.5,176
gpt_oss_role_vector_20260829_054343Z,random_vector_alpha_5,600,25.166666666666664,8.5,170
gpt_oss_role_vector_20260829_054343Z,role_vector_alpha_1,600,24.5,8.166666666666666,168
gpt_oss_role_vector_20260829_054343Z,role_vector_alpha_2,600,24.333333333333336,8.5,171
gpt_oss_role_vector_20260829_054343Z,role_vector_alpha_3,600,24.666666666666668,9.333333333333334,168
gpt_oss_role_vector_20260829_054343Z,role_vector_alpha_4,600,23.166666666666664,7.833333333333334,156
gpt_oss_role_vector_20260829_054343Z,role_vector_alpha_5,600,24.666666666666668,7.5,161
gpt_oss_role_vector_layer_matched_20260902_085528Z,baseline,150,21.333333333333336,6.0,37
gpt_oss_role_vector_layer_matched_20260902_085528Z,layer_matched_role_vector_alpha_4,150,23.333333333333332,4.0,39
gpt_oss_role_vector_layer_matched_20260902_085528Z,layer_matched_role_vector_alpha_5,150,22.0,2.666666666666667,35
gpt_oss_role_vector_layer_matched_20260902_085528Z,random_vector_alpha_4,150,20.0,5.333333333333334,30
gpt_oss_role_vector_layer_matched_20260902_085528Z,random_vector_alpha_5,150,20.666666666666668,5.333333333333334,31
